id;value
355;PAOiste (débutant), opérateur de saisie
356;Responsable ressources humaines ou contrôleur de gestion
357;BTP, topographe, exploitation minier, forage
358;Stagiaire
359;Opérateur de saisie (débutant)
360;Infirmier généraliste ou ambulancier
361;Assistant technique
362;Dans le domaine de l'administration,RH
363;Logistique, gestion informatisée, responsable d'agence
364;Chauffeur , chauffeur camion citerne, chauffeur poids lourds
365;Qui correspond à mon profil
366;Téléopératrice,télévendeuse
367;Maintenance assemblage
368;Administrateur système,réseaux maintenance,technicien informatique
369;Logistique,transit
370;Technicien de maintenance matériel
371;Transit ou commerce 
372;Topographe
373;Administrateur réseaux avancé
374;Maintenancier, magasinier
375;Travaux de construction BTP
376;Commerciale ou marketeur
377;Ingénieur BTP
378;Opérateur de saisie, assistante administrative
379;Conseillère clientèle, commerciale
380;Ouverte à toute proposition
381;Modérateur web, opérateur saisie, responsable contrôle qualité
382;Assistante administrative, assistante comptable, assistante de direction
383;Administration,RH
384;Assistante polyvalentes
385;Administration,finance
386;Commercial, administratif, opérateur de saisie
387;Gestionnaire, administratif, assistant de direction, assistant comptable (débutant), 
388;N'importe emploi
389;designer,développeur,chef de projet
390;Comptabilité,contrôleur de gestion,administration
391;RH
392;Tout ce qui concerne le web
393;Gestion des ressources humaines, comptable, gestion,finance
394;Traducteur, ou rédacteur
395;Télévendeuse (débutante)
396;Référencement, socio-organisateur, infographie
397;Ressources humaines ou ONG humanitaires
398;Comptable, ressources humaines
399;Je cherche un emploi lié à l'agronomie
400;Magasinier ou gestionnaire de stock
401;Électrotechnique,informatique,autre
402;Ressources humaines ou ONG humanitaires(débutant)
403;Juriste débutant ,informatique de gestion
404;Standardiste
405;Enseignant
406;Développeur web (junior)
407;Technicien agricole
408;Peu importe
409;Responsable des ressources humaines
410;Électromécanicien
411;Assistante comptable. caissière. service clientèle
412;Électromécanicien
413;Commerciale, comptable
414;Téléopératrice,commerciale
415; Administration,commercial
416;Chef comptable, contrôleur interne, contrôleur de gestion
417;Chef d’équipe en électricité
418;Comptable, aide comptable, assistant comptable débutant
419;Java développeur
420;Responsable magasin,gestion de stock
421;Comptable, aide comptable, assistant comptable débutant
422;Administrateur système,réseaux maintenance
423;Téléopérateur service client anglophone
424;Modérateur, comptable, traducteur, transcripteur
425;Ressources humaines, comptable, responsable logistique
426;Téléopératrice (débutante)
427;Téléopération
428;Contrôleur de gestion, RAF, DAF, 
429;Assistante de santé
430;Développeur (débutante)
431;Technicien informatique, électrique,électronique 
432;Magasinier-opérateur de saisie
433;-	plombier,électricien 
434;Plombier,électricien 
435;Maintenance industrielle
436;Web
437;Technicien de maintenance informatique
438;Vacant
439;Informatique ( développement web ou Android , réseau,système)
440;Assistante administrative, assistante comptable, commerciale
441;Développeur web ou Android , administrateur réseau,système
442;Technicien électricité 
443;Responsable informatique,administrateur réseaux,système
444;Administrateur réseaux débutant
445;Administrateur réseau (débutant)
446;Suivi évaluation de projet
447;Gestion management
448;Administration, ressources humaines
449;Technicien télécoms
450;Administration,comptable,RH
451;Correcteur web
452;Administrateur réseau (débutant)
453;Gestionnaire, assistant, directeur, chef de projet,  coordinateur
454;Sociale, administration,commerciale
455;Glacier
456;Marketing,commercial
457;Commercial, secrétaire, réceptionniste, animatrice
458;Commerciale, secrétaire, réceptionniste, animatrice
459;Stagiaire développeur PHP,java
460;Responsable de maintenance, chef d'atelier
461;Industrielle, technico-commercial
462;Agronomie, environnement, foret, administration
463;Stagiaire,tourisme
464;Responsable import,export
465;Glacier, pâtissier,chauffeur
466;Secrétaire ou réceptionniste,caissière
467;Secrétaire, réceptionniste ou caissier 
468;, assistante de direction
469;De responsable de stock ou caissier ou agent administration
470;Direction
471;Déclarant en douanes
472;Toute catégorie
473;Tous les emplois tournant autour de la télécommunication
474;Dans la relation client 
475;Agent administratif
476;Animateur,superviseur
477;Responsable de stock ou caissier ou administration 
478;Communication,organisation
479;Magasinier ou gestionnaire de stock ou poste vacant
480;Secrétaire de direction , assistante
481;Comptable, ressources humaines,chef comptable,RAF,...
482; Administrateur système,réseaux maintenance débutant
483;Assistante comptable,caissière, assistante RH,commercial
484;Opérateur de saisie , rédactrice web, assistante comptable débutante
485;Modérateur web, opérateur saisie, responsable contrôle qualité à domicile
486;Assistanat,secrétariat, responsable d'approvisionnement
487;Télécommunication (offshore, data)
488;Technicien navale
489;Assistant,secrétariat, responsable d'approvisionnement
490;Gestion
491;RH,commercial,logistique
492;Technicien informatique
493;Dans la rédaction web, relation client, domaine culturel.
494;Service billetterie, service du tourisme stagiaire
495;Conseil en gestion, contrôle de gestion, direction
496;Toutes les offres d'emploi
497;Gestionnaire de stock,magasinier
498;Assistant administratif  ou logistique 
499;Rédacteur web français, responsable de production
500;Qui se rattache à la gestion
501;Domaine de gestion
502;Assistante administrative, juriste, secrétaire de direction
503;Commerciale
504;Tout les emplois dans le secteur tourisme
505;Administration  , transitaire 
506;Assistant administratif,financier
507;Juriste , consultante , travail en ligne à domicile
508;Téléprospecteurs français en BtoB (h,f)
509;Administration, RH, comptabilité
510;Secteur du tourisme
511;Téléprospecteurs français en BtoB
512;Agent de facturation 
513;Télécommunication, commerciale (débutante)
514;Stagiaire  dans le domaine de la gestion
515;Assistante juridique, ressources humaine
516;Gestion (débutant)
517;Téléopératrice, commerciale (débutante)
518;Formateur ou autres
519;Commerçant
520;Import -export
521;Télévendeurs
522;Conseiller clientèle, commerciale
523;Assistante de direction,secrétaire,chef de chantier
524;Secrétaire,assistante comptable , réceptionniste
525;Téléprospecteurs français en BtoB
526;Agent de facturation
527;Gestion clientèle, assistance, communication
528;Web designer (débutant) , infographiste (avancé)
529;Emploi au sein d'une association ou ONG
530;Consultant, qualité, association, ONG, offshore
531;Téléprospection 
532;Administration, logistique,achat
533;Superviseur , recruteur 
534;Caissier ou assistant comptable
535;Administrateur système,réseaux maintenance (senior)
536;Administration , assistant en ressources humaines
537;Consultant, téléopérateur, superviseur
538;Emploi en temps partiel dans la téléopérations,commercial (débutant)
539;Électricien, technicien de maintenance
540;Rédacteur web français, web designer, téléopérateur de vente, assistant commercial
541;Tout type
542;Technicien de maintenance industrielle
543;Téléprospecteurs français en BtoB , commercial (débutant)
544;Administrateur base de données (avancé) , administrateur réseaux (senior)
545;Coursier , rédaction web
546;Formateur
547;Directeur administrative , chef de service administratif
548;Secteur marketing, communication, audiovisuelle
549;Chef de projet, superviseur
550;Emploi dans le domaine du marketing ou commerce 
551;Administration , comptabilité , assistante administrative
552;Consultant,  association, ONG, offshore, gestion relation client
553;Téléopérateur en italien , téléopérateur anglophone , ONG 
554;Responsable de production service relation client
555;Énergie ou électricité
556;Technicien de maintenance industrielle (avancé)
557;Chef de projet , superviseur,service relation client,rédaction,commerce
558;Administration,commerce
559;Consultant, administration, assistante de direction, service relation client
560;Ressources humaines , téléopératrice (débutante)
561;Transit,douane, commerce,marketing, secrétaire, assistante
562;Agent d'accueil, gestion (management,finance), téléopératrice
563;Technicien informatique
564;Domaine de la communication
565;Informatique développeur , administrateur système,réseaux 
566;Offshore , agronomie
567;Commercial , télé-vendeur , télé-opérateur
568;Cuisinier ou chef cuisinier
569;Externalisation,offshore, droit
570;Externalisation,offshore , droit
571; Technicien informatique, infographiste, web designer, maintenance réseau
572;Téléopératrice,télévendeuse ou secrétaire standardiste
573;Mécanicien automobile
574;Comptable, aide comptable, assistant comptable 
575;Mécanicien automobile, opérateur de saisie, commercial.
576;Assistant comptable , assistant d'administration , opérateur  de saisie , commercial
577;Logistique, commerce des produits pétroliers,ses dérivés, technique
578;Superviseur , recruteur , téléopérateur
579;Assistante juridique (débutante), assistante administrative, juriste, secrétaire juridique
580;Assistante de direction, opératrice en ligne, assistante comptable, standardiste
581;Assistante de direction, secrétaire, accueil, standardiste, opératrice
582;Relation clientèle
583;Directeur commercial,marketing
584;Assistante de direction, commerciale, transit
585;Secrétaire,téléopérateur
586; Web designer, développement web (débutant)
587;Association ou ONG , réalisateur mission télévisé
588;Secrétaire,téléconseiller ,animatrice media
589;Aide comptable ou assistant marketing
590;Vendeuse ou animatrice ou commercial
591; Agronomie ,téléopérateur
592;Développeur java (débutant)
593;Commercial ou vendeuse ou animatrice
594;Enseignant , téléopérateur , rédacteur
595;Réparateur d'ordinateur , commercial
596;Chargé grand compte
597;Cuisinière , commerciale
