id;value
768;Python, Oracle, MySql, Sql
769;Windev
770;Windows et Linux
771;Windev et Access
772;Dreamweaver, Joomla...
773;Pf sense
775;Debian
776;CIEL-COMPTA, ORCHID, CAMP MID 15, TOMATES, SYDONIA ++
777;Microsoft Office
780;Sage Paie 
782;Sage
785;Sage
786;SAGE ET EBP OPEN 
787;Adobe Indesign
788;SAGE Compta, Sage Commercial, Sage Paie, EBP
789;SAGE GESCOM
790;Sage i7 SQL, Saari, Ciel Compta, EBP Comptabilit
830;QGIS
831;Ilwis
832;Systat
833;Guest Hotel
834;Visual Fox Pro6
835;Oracle 8i
836;Windows 20XX
837;WhiteBox
838;Cisco paket tracer
839;joomla
840;bootstrap
841;spring mvc
842;hibernate
843;jsf
844;nodeJs
845;android
846;xamarin
847;cordova
848;symphonie
849;MS project
850;Langage de programmation  Java et C
851;Compta Saf 2000
852;VMware
853;jdevelopper
854;CorelDraw
855;Postgresql
856;Odoo
857;Sage Compta 100
858;EBP Compta
859;Connaissances en Progiciel ERP
860;FL STUDIO
861;Windows 2012
862;covadis
863;xarchitecture
864;informatique bureatique
865;dactilographie assisté par ordinateur
866;télédétection
867;Recherche opérationnelle
868;ciel gestion commercial
869;Auto cad
870;Archicad
871;Google Sketchup
872;Robot bat
873;CBS
874;COVADIS
875;graphisme
876;cyber link paie
877;bitween multiplication ordi independant
878;microsoft office
879;ajax
880;Excel Sage  Minimaint Ciel Compta
881;sage commercial 16
882;Microsoft office 2003
883;Windows 2007
884;Adobe lightroom
885;hyperV
886;Tomate
887;sharpdevellop
888;LinSSID
972;wamp server
890;adobe illustrator
891;Adobe premiere
892;adobe audition
893;Symfony
894;Bootstrap
895;Tradeworks
896;Connaissance en ORCHID
897;Connaissance en SAGE COM
898;SOMMA
899;sage saari
900;outlook
901;EnergyPlus
902;R et Rstudio
903;Gemis
904;LaTex
905;Alizé
906;Comsol
907;Comsol CAO
908;Solidworks DAO et CAO
909;Programmation Arduino
910;LabView
911;Proteus
912;Access
913;Arduino
914;LABVEW
915;solidwork
973;Zara radio
917;SAGE COALA
918;MS SQL Server
919;Oracle
920;QlikView
921;Qlik Sense
922;SSIS
923;SSAS
924;SSRS
925;Hermes.Net  VOCALCOM
926;mmmm
927;ArcGis
928;Lizmap web client
929;Monteverdi
930;Postgis
931;Geoserver
932;Visual Paradigm
933;Microsoft office 2013
