id;value
381;Télévision, radio, lecture, chorale, kabary  
382;Natation,internet,lecture,zap
383;Conseiller dans l'association familiale, Président de l'association en Marketing Evenementiel et Touristique à l'Université d'Antananarivo MEVA
384;Musique - Lecture et Sport
385;vice-président de l'Association pédagogique du département d'Histoire FLSH Ankatso / Décorateur et organisateur de scène
386;courcier dans le société  PROCARE
387;Musculation
388;Couture, Regarder les documentaires à la télévision, écouter la musique , footing
389;Foot ball, Film et Documentaires
390;Atouts : Sérieuse, Dynamique, Loyale, grande disponibilité, fortre motivation.
391;danse de salon, jeux d'echecs et sudoku
392;voyager, lire
393;Danse de salon, membre de l'association Coeur ISCAM (volontariat)
394;Président actuel du Rotaract Club Ankoay partenaire du Rotary Club Antananarivo Anosy
395;PIANO
396;Informatique
397;Internet, Basket ball, Natation, Cinema, Sortir, Voyager
398;echec, sport
399;Natation, Lecture, Basket
400;musique - IOT - trail - cuisine
401;Music, jeux d'échec
402;Voyage, football, musique
403;basket-ball, foot-ball et lecture
404;Football,Basket, music, lecture,rugby
405;Musculation, voyage, internet
406;Football, Basketball, Natation 
407;Foot-Natation-Basketball
408;chant, lecture, voyage
409;Basketball, scoutisme, lecture, cinéma, Art culinaire
410;Football, Pétanque, Natation
411;Sciences et Technologie, Géologie, Psychologie, ...
412;Nouvelles technologies, basket ball, natation
413;Internet, basket, Cinema
414;Aime la danse
415;Chretien, Voyages, Sports, Documentaires, 
416;PIANO, DANSE
417;sociologie cuisine, Réalisation d’une étude de marché concernant la distribution des produits pétroliers dans les stations services à Tana,au cours de l’année de 2010,une étude diligentée par les enseignants membres du CREM.
418;- Musique - Film - Lecture - Cuisine - Couture, tricot et broderie - Jardin - Voyages. Autre : médaille de travail
419;Foot ball, natation, randonner, danse
420;Basket
421;Foot ball et basket ball
422;Création d'un générateur d'hydrogène
423;Foot ball, Danse de salon
424;Stage de Formation sur les AERATEURS DE TOITURE WHIRLYBIRD au sein de la Société NEGODIS à l’île de LA REUNION en 1998
425;Stage de Formation sur les AERATEURS DE TOITURE  à l’île de LA REUNION en 1998
426;Footballeur Professionnel
