id;value
488;FPU Fianarantsoa
489;INTH
490;Lycée Gallieni Andohalo Antananarivo
491;LARA 
492;CTS MAHAMASINA
493;ASFOR
494;Orion
495;UPRIM MADAGASCAR/ACEEM/CEFOR 
496;Wamy, INTH
497;AMBOHITSAINA
498;Lycée Moramanga
499;Imgam fpaec
500;ST Jean Bosco
501;Autodidacte
502;ISIME Behoririka
503;ACCEM
504;ISGIE
505;Centre d'Etude Diplomatique et Stratégique (CEDS)
506;ANAKEEN
507;CARPIGIANI UNIVERSITY
508;Lycée Ambohidratrimo
509;ISM Advancea
510;2016-2017
511;lycée privée LA SOURCE
512;Université de EVRY
513;Lycée technique professionnel Ampasapito
514;College Moderne d'Ankaraobato
515;Institut National de Tourisme et d'Hôtellerie
516;Université Catholique de Lyon
517;Université d’Antananarivo
518;Sup’Info Dakar
519;ECOLE RAZANAMPARANY ANALAKELY
520;ESCA antanimena
521;universite DE TOLIARA
522;CENTRE DE FORMATION DOUANES ANTANANARIVO
523;Privée
524;Hay Target / Université privée Americaine
525;Univesité de Mahajanga
526;Chambre de Commerce de Fianarantsoa
527;ankatso et IFT
528;st vincent de paul
529;Collège Saint Philippe et Jacques
530;Lycée Technique Privé La Source
531;MADA 7+7
532;ESPA Vontovorona
533; Lycée Gallieni
534;Education nationale de la recherche de la culture et des arts
535;stella maris tamatave
536;Institute of Management Technology
537;Armis
538;E.N.I Fianarantsoa
539;Toamasina
540;Universite de la Reunion
541;CFRH Institute
542;ISGEI
543;UNIVERSITE DE SFAX
544;Chevrollier
545;ETEC FARAVOHITRA
546;Mec-Auto
547;Lycée Technique  
548;Lycée Saint Paul Morondava
549;CNTEMAD.Droit
550;Fiangonana Loterana Malagasy
551;en Sciences Economiques
552;INCC
553;IEFP ACEEM 
554;Université ACEEM Manakambahiny
555;Univesrité d'Anatananarivo
556;Centre des Techniques et Pratiques en Commerce International (CTPCI)
557;"IHEC ""Sekoly RAZANAMAMPARANY"
558;Ministère de Commerce et de l'Industrie, La Direction de l'Artisanat et de l'Agence Française de Dévéloppement
559;Faculté des lettreS et science humaine ANTANANARIVO 
560;GENIESPACE
561;Madagascar Entreprise Development
562;Ecotec Tamatave
563;Saint Antoine
564;IHSM Tulear
565;NANISANA FED-STABEX
566;Lycée Sainte Famille Anosivavaka
567;LSFA
568;Lycée Technique Professionnel de Mahamasina
569;Pro Acta
570;INFO SYSTEME MANAGEMENT
571;Lycée privé ARCADE
572;CEG Andranonahoatra
573;EPP Itaosy
574;Lycée de Sainte Marie
575;FLSH Ankatso
576;FORMATION DES TECHNICIENS SUPERIEURS TOLIARA (FTS)
577;EPEPSAA
578;UNIVERSITE ANTSIRANANA
579;barikadimy Toamasina
580;CTPCI 67 Ha
581;collège Condorcet
582;Centre Retravailler
583;Lycée FJKM Andriamanarefo
584;CEG Analamahintsy
585;EPP Analamahintsy
586;FORMATION DES TECHNICIENS SUPERIEURS TOAMASINA I (FTS)
587;Ecole Supérieure Sacré Coeur Antanimena (ESSCA)
588;Lycée Privée Saint Joseph Antsirabe
589;MCP Antaninadro
590;Lycée NDA
591;CFAC Antanimena « St François Xavier » (Centre de Formation aux Activités du Commerce)
592;CNTMAD
593;ONG FITIAVANA Mahazoarivo Nord
594;Lycée privée Fo Masin'i Jesoa Talatamaty
595;FLSH Ankatso Université d'Antananarivo
596;FFF MM / IMD – DL Anosisoa Ambohimanarina
597;Lycée Ambohimanambola
598;NOTRE DAME DE LOURDE  
599;IUM Isoraka (Institut Universitaire de Madagascar)
600;ESSCA Antanimena (Ecole Supérieure Sacré-Coeur Antanimena)
601;New Concept Information Technology (NCIT) BIONEXX SA
602;ISAA-UNIVERSITE DE SFAX Tunisie /Campus Numérique Francophone d'Antananarivo
603;COACH PARTNER -COTTOLINE
604;London Business Academy of Antananarivo par Derek Havelock
605;Textiles Human Ressources Council de Canada en collaboration avec Harvard University, formation en ligne par le Groupe SOCOTA
606;IMGMAM/F.P.A.E.C
607;RADRIANAMPANDRANA
608;ENEM
609;ESC
610;Collège Saint Pierre Chanel Ihosy
611;Centre Américain Ambohidahy
612;Lycée privée Hasina Sab/nam
613;EPP Andrebakely
614;IBM France
615;LENOVO
616;Rapidos
617;
618;Formation Professionnelle Mantasoa
619;Saint Michel Amparibe (SAMIS-ESIC)
620;Saint Mathieu Amboasary Gara
621;IMGAM  / EPEP
622;Lycée Technique Professionnel de Mahamasina (LTPGCM)
623;Lycée FJKM Antanisoa
624;INSTAT
625;Chocolaterie Robert
626;Centre Nationale de Télé-Enseignement de MADagascar ou CNTEMAD
627;ISFPS Leader
628;FJKM Ambatomanga Manjakandriana
629;Webmaster Madaweb
630;CFTPRO » Ambohimanarina Ambodimita
631;Université Montpellier 3
632;Université Lyon 2
633;ISIME Betongolo
634;ESCOM
635;Institut Malgache des Innovations (IMI) Antananarivo
636;Faculté DEGS à l'Université Antananarivo
637;Leader Info Tsiadana
638; Collège Condorcet
639;Harold Washigton College
640;Istituto Mystici Corporis. Montet (Broye), Suisse
641;Istituto Mystici Corporis. Florence, Italie
642;Saint Joseph Andohalo
643;IMGAM / EPEP
644;EPEP Manjakaray
645;Marthe Hervé 
646;CFPMA Ivato
647;  ASFOR Tanjombato  
648;ASFOR Tanjombato  
649;Ecole supérieure spécalisée du Vankinakaratra
650;DREN/EP
651;Tuléar
652;AFT
653;Lycée Privée  La Tourterelle Andoharanofotsy
654;ETP
655;Ecole Nationale d'Informatique de Fianarantsoa (ENI)
656;Sacre Cœur Anosisoa 
657;Lycée privée Hasina Sabotsy Namehana
658;CENTEMAD
659;SFX Fianarantsoa
660;ISAP
661;Faculté de science de Mahajanga
662;"ISPAg (Institut Supérieur Privé Agricole) ; Antananarivo"
663;Sacré coeur Anosisoa
664;C.T.R.L.G
665;Accem Analakely
666;centre de formation aux activités du commerce Saint François-Xavier
667;ESCOGES
668;niveau terminal
669;ankatso confusius
670;Ecole BIT akatso
671;FJKM Ambatomanga
672;Société x en webmastering
673;CFM (Centre de Formation des Métiers)
674;ORN Atsimo Atsinanana
675;PSI Madagascar
676;BIT Formation (Tuléar)
677;Alliance Française de Tuléar
678;FANASINA SERVICE Farafangana
679;Microfinance
680;CNaPS Farafangana
681;Lycée de Vangaindrano
682;CFTPRO Ambohimanarina Ambodimita
683;Lycée Saint Gabriel Mahajanga
684;Ecole Supérieur Polytechnique d'Antananarivo
685;Lycée privé Rasalama
686;Proup Info Ambohipo
687;Faculté des Sciences 
688;Facultés des sciences
689;Ministère de la jeunesse et des sports
690;C.A.T
691;LTP Ampasampito
692;INSCAE  Madagascar
693;Sniper Hire
694;Hay Group
695;White & White Associates 
696;Satyam group
697;Exact Software
698;cfpa
699;Lycée Catholique Arivonimamo
700;EPCT ANALAMAHITSY
701;Alliance Française de sainte marie
702;société JB Amboditsiry
703;université Andrainjato Fianarantsoa
704; ISPAg (Institut Supérieur Privé Agricole)  
705;ltp Beravina
706;UNIVERSITE ECONOMIE GESTION AN DRAIN JATO
707;IEFPA-ACEEM 
708;Lycée Jean Joseph Rabearivelo
709;Lycée Sainte Thérèse Andasibe Ampefy
710;CFRH - Centre de Formation des Ressources Humaines
711;université Fianarantsoa
712;Malagasy professionnels de l'élevage
713;Fianaratsoa
714;Lycée Saint Jean Bosco
715;Lycée Ambatolampy
716;Société en Textile
