id;diplome;created
284;bacc+2 en gestion et comptabilité;22/03/2017 15:31
285;bacc+3 en gestion et marketing;22/03/2017 15:40
286;maîtrise en gestion et administration d'entreprise;22/03/2017 15:42
287;Certificat de fin d'études en anglais;22/03/2017 15:55
288;Certificat de stage de formation en Linux;22/03/2017 15:57
289;études en économie;22/03/2017 16:06
290;Technicien Supérieur en Equipement Rurale Option Hydraulique ;22/03/2017 18:24
291;BAC Technique Option Dessinateur Métreur ;22/03/2017 18:24
292;Niveau BACC;22/03/2017 20:32
293;3ème année en informatique (en cours);23/03/2017 07:22
294;baccalauréat technique option comptabilité et gestion;23/03/2017 07:23
295;1ère année en économie et commerce;23/03/2017 07:33
296;Master 1 en économie et commerce;23/03/2017 07:34
297;licence professionnelle en économie et commerce;23/03/2017 07:34
298;2ème année en économie et commerce;23/03/2017 07:35
299;Licence en Gestion et management;23/03/2017 07:40
300;Diplôme de licence en informatique de gestion, génie logiciel et intelligence artificielle;24/03/2017 07:16
301;Diplôme de technicien supérieur en informatique de gestion, génie logiciel;24/03/2017 07:17
302;Diplôme universitaire d'études scientifiques option mathématiques;24/03/2017 07:18
303;Master 1 en sciences économiques, option: macroéconomie, modélisation et statistique;24/03/2017 07:44
304;Licence en sciences économiques, option économie générale;24/03/2017 07:45
305;Master 2  en finance;24/03/2017 07:50
306;Licence en administration d'entreprise;24/03/2017 07:51
307;Certificat en MECANIQUE AUTOMOBILE;24/03/2017 08:00
308;Brevet d'études du premier cycle de l'enseignement secondaire;24/03/2017 08:01
309;Master 1 en informatique ;24/03/2017 08:13
310;DTS en informatique;24/03/2017 08:15
311;Licence et DTS;24/03/2017 11:44
312;DTS, Liccence;24/03/2017 11:50
313;Diplôme de technicien supérieur en informatique de gestion option développeur d'application;24/03/2017 14:27
314; 1ère année en informatique de gestion;24/03/2017 14:28
315;Master 1 en Droit public;24/03/2017 14:40
316;Diplôme de technicien supérieur en Droit;24/03/2017 14:42
317;Niveau Bacc +2;27/03/2017 08:00
318;BTS en tourisme et restauration;27/03/2017 09:57
319;2ème année en Français;27/03/2017 13:34
320;3ème année en Gestion et Management;27/03/2017 13:44
321;BEP;27/03/2017 13:46
322;Formation en Infographiste;27/03/2017 13:49
323;DUELL II;27/03/2017 16:32
324;Master 1 en gestion de l'environnement;28/03/2017 07:20
325;Diplôme de technicien supérieur en Commerce et Marketing au sein de l’IUM (Institut Universitaire de Madagascar);28/03/2017 09:58
326;Managment d'entreprise;28/03/2017 10:41
327;maîtrise chimie;28/03/2017 11:16
328;Certificat de fin d'etude en Communication & marketing;28/03/2017 15:17
329;BACC A2;28/03/2017 15:17
330;licence en gestion option finance et comptabilite, etudiante en troisième année sociologie;29/03/2017 08:29
331;2 ème année en Finance et Comptabilité;29/03/2017 08:31
332;CORRESPONDANTE D ENTREPRISE;30/03/2017 08:06
333;FIN DE FORMATION DE GESTION  D ENTREPRISE;30/03/2017 08:06
334;Licence en Gestion des PME option Gestion de projet;30/03/2017 09:00
335;DTS en comptabilité et Finance;30/03/2017 09:01
336;Bac G2 et BEP G2;30/03/2017 09:01
337;2ème année en Informatique, Génie Logiciel et base de données (en cours);30/03/2017 09:04
338;Niveau Bacc+2 en informatique de gestion;30/03/2017 09:21
339;Certificat en opérateur de saisie et dactylographie;30/03/2017 09:25
340;Bacc série A;30/03/2017 09:26
341;3ème année en Sociologie (en cours);30/03/2017 09:34
342;Licence en  Management d'entreprise et banque, parcours Finance et Comptabilité;30/03/2017 09:35
343;Formation professionnelle en tourisme et hôtellerie ;30/03/2017 09:46
344;Niveau Bacc+2 en Droit;30/03/2017 09:46
345;Niveau BACC série D;30/03/2017 09:55
346;Certificat en Informatique bureautique et internet;30/03/2017 10:05
347;Niveau Bacc +2 en Commerce et Marketing;30/03/2017 11:32
348;Etude de la langue Anglaise;30/03/2017 11:43
349;3ème année (en cours) en Gestion option Comptabilité et Finance;30/03/2017 11:51
350;Licence en Sciences économiques option Economie et Finance;30/03/2017 11:53
351;Formation en langue Française ;30/03/2017 11:54
352;Formation en communication institutionnelle;30/03/2017 11:55
353;baccalauréat scientifique série C;30/03/2017 11:58
354;Licence Professionnelle en Electromécanique;30/03/2017 14:53
355;Brevet de Technicien Supérieur;30/03/2017 14:54
356;Baccalauréat en Electrotechnique Industrielle et Brevet d'études professionnelles industrielles;30/03/2017 14:56
357;Attestation en langue française et anglaise;30/03/2017 15:24
358;Niveau Bacc+2  en audio-visuel;30/03/2017 15:25
359;Baccalauréat électronique;30/03/2017 15:25
360;BEP en télécommunication et audio visuel;30/03/2017 15:26
361;Ingénieur en Informatique specialisé en Génie Logiciel et Bases de Données;31/03/2017 06:56
362;Licence en BTP;31/03/2017 07:04
363;Certificat de fin de formation en Communication & marketing ;31/03/2017 09:03
364;Certificat de fin de formation en informatique bureautique;31/03/2017 09:04
365;Attestation en bureautique;31/03/2017 09:21
366;Cours de Français parlé;31/03/2017 09:34
367;Certificat de cours de cuisine et de pâtisserie;31/03/2017 09:35
368;Diplôme de technicien supérieur en Commerce et Marketing;31/03/2017 09:41
369;Licence en Communication option Journalisme;31/03/2017 09:49
370;DTS en multimédia et communication;31/03/2017 09:50
371;DUELL II (Bacc+2) en études françaises;31/03/2017 09:58
372;DUEL I;31/03/2017 09:59
373;DUEL II (Bacc+2) en études françaises;31/03/2017 09:59
374;DUEL I en études françaises;31/03/2017 10:00
375;Master II (en cours) en Finance et Comptabilité ;31/03/2017 13:30
376;Master I en Finance et comptabilité;31/03/2017 13:33
377;Licence en Finance et Comptabilité;31/03/2017 13:35
378;DTS en Finance et comptabilité;31/03/2017 13:36
379;Baccalauréat technique en comptabilité et gestion;31/03/2017 13:38
380;BEP en comptabilité et gestion;31/03/2017 13:38
381;Level 3 en langue Anglaise;31/03/2017 13:46
382;Formation sur la Gestion de projet;31/03/2017 13:47
383;Licence professionnelle en Informatique de gestion;31/03/2017 13:50
384;Formation en hôtellerie;31/03/2017 14:24
385;Formation en stratégie commerciale;31/03/2017 14:26
386;Certificat en informatique bureautique et programmation;31/03/2017 14:28
387;Certificat de fin de formation en stratégie commerciale;31/03/2017 14:28
388;Formation en langue anglaise, niveau avancé;31/03/2017 14:30
389;Ingénieur Informatique;03/04/2017 08:12
390;Master II (Ingéniorat) en Bâtiment et Travaux publics;03/04/2017 08:25
391;Licence en Gestion comptabilité;03/04/2017 09:48
392;Baccalauréat technique professionnelle et BEP en comptabilité G2 ;03/04/2017 09:50
393;2ème année en DROIT;03/04/2017 10:01
394;2ème année en Gestion et Comptabilité;03/04/2017 10:02
395;Formation en informatique bureautique;03/04/2017 10:05
396;Formation en Business Marketing Relationnel;03/04/2017 10:06
397;Certificat en étude de gestion informatisée et dactylographie;03/04/2017 11:31
398;Baccalauréat G2 et BEP;03/04/2017 11:31
399;BACC+4 en administration des entreprises;03/04/2017 11:49
400;BACC+3 en gestion administrative et financière;03/04/2017 11:50
401;BTS en gestion des entreprises PME;03/04/2017 11:51
402;Attestation en management efficace;03/04/2017 11:52
403;Attestation en formation spécialisée en gestion des ressources humaines;03/04/2017 11:54
404;2ème année en Gestion et Management;04/04/2017 06:17
405;Master 2 en Administration;05/04/2017 08:36
406;Licence professionnelle en management d'entreprise option Administration;05/04/2017 08:37
407;Licence professionnelle en Finance et Comptabilité;05/04/2017 08:38
408;Certificat d'études de la langue anglaise;05/04/2017 08:39
409;Technicien Supérieur en Sciences de la Terre option Géotechnique;05/04/2017 08:55
410;Master 2 en informatique de gestion option Administrateur Système;05/04/2017 09:15
411;Licence professionnelle en Génie Logiciel et base de données;05/04/2017 09:16
412;Master II (en cours) en Informatique;05/04/2017 09:24
413;Licence professionnelle en Administrateur et réseaux informatique;05/04/2017 09:25
414;Master 2 en finance et Comptabilité;05/04/2017 11:43
415;Ingénieur en informatique;05/04/2017 12:59
416;Licence en Administration marketing et commerce;05/04/2017 14:58
417;DEUG Gestion;05/04/2017 14:59
418;Licence (en cours) en Informatique;05/04/2017 15:19
419;Certificat de fin de formation en WEB;06/04/2017 07:37
420;Baccalauréat série A;06/04/2017 15:24
421;Master II en Informatique specialisé en Génie Logiciel et Bases de Données;06/04/2017 15:38
422;License Bacc+3 ;06/04/2017 18:51
423;BACC +2 en commerce;08/04/2017 09:23
424;Master II en informatique;09/04/2017 02:34
425;Bacc+3 en Gestion et management/ Bacc+2 en informatique;09/04/2017 09:23
426;Master 2  en Informatique option Architecture Logiciel;10/04/2017 06:11
427;Licence en Informatique option administration système et réseaux;10/04/2017 06:30
428;1ère année en Communication;10/04/2017 15:24
429;Master II en Informatique Générale;11/04/2017 06:19
430;Licence en Informatique Générale;11/04/2017 06:20
