id;diplome;created
956;Licence en BTP spécialisation Topographie;05/09/2017 12:42
957;Attestation dans l’Immersion de la dimension Client- Gestion de la Relation Client;05/09/2017 12:43
958;DTS en Communication d’entreprise ;05/09/2017 12:47
959;Bac+2 en communication;05/09/2017 13:41
960;Baccalauréat série Technique;06/09/2017 09:00
961;Deuxième session en Administration d'Entreprises (Formation Continue);06/09/2017 09:00
962;Deuxième année en Création d'entreprise;06/09/2017 09:00
963;Deuxième session en Administration d'Entreprise (Formation continue);06/09/2017 09:34
964;Licence es Science en Gestion;06/09/2017 11:30
965;Attestation de stage au service des Ressources Humaines;06/09/2017 11:32
966;Attestation de stage dans la Gestion de stock;06/09/2017 11:34
967;Magistère Première Partie en Etudes Economico-Gestionnaire;06/09/2017 14:09
968;licence en geston option Management et finance;06/09/2017 14:11
969;Opérateur de saisie, rédacteur web;06/09/2017 15:04
970;Master 1 Gestion des Ressources Humaines;07/09/2017 08:34
971;Master 1 Psychologie sociale et du Travail;07/09/2017 09:20
972;Licence Professionnel ;07/09/2017 09:35
973;Attestation;07/09/2017 09:57
974;Diplôme de Technicien Supérieur en Comptabilité et Administration d'Entreprise;07/09/2017 10:19
975;Certificat de perfectionnement en langue française;07/09/2017 13:59
976;Certificat d'études en commerce internationale transit et douane;07/09/2017 14:00
977;Certificat de fin d'étude en gestion de projet entrepreneurial et/ou social;07/09/2017 14:11
978;Titre professionnel RNCP II, Concepteur en Architecture Informatique;07/09/2017 14:19
979;Certificat en Business Language Testing Service (BULATS) CEF/ALTE;07/09/2017 14:20
980;Etude en Gestion;07/09/2017 14:39
981;Etude en Droit;07/09/2017 14:41
982;Formation en maintenance informatique;07/09/2017 14:42
983;Licence marketing et communication;08/09/2017 13:29
984;formation en image;08/09/2017 13:29
985;en cours d'obtention Licence en Electromecanique;08/09/2017 13:46
986;BTS  en Électromécanique;08/09/2017 13:46
987;BAC en Electrotechnique;08/09/2017 13:46
988;Brevet d'études professionnels en Électrotechnique;08/09/2017 13:46
989; Qualification commerce;08/09/2017 15:07
990;bac+4 en droit privé droit des affaires;09/09/2017 05:02
991;Maitrise en Droit Privé;09/09/2017 14:28
992;Certificat Elementaire en Informatique;09/09/2017 16:03
993;Certificat de fin d’Etudes en Sciences Sociales et Religion ;09/09/2017 16:03
994;"3.	Diplôme de Technicien Supérieur en Comptabilité et Management d’Entreprise (DTS)";09/09/2017 16:03
995;Bacc+5 en Marketing et Commerce;11/09/2017 09:09
996;Licence Professionnel option Production végétale;11/09/2017 15:11
997;Formation en technicien maintenance reseau filière;12/09/2017 11:28
998;Formation en finance et comptabilité;12/09/2017 11:36
999;Formation en Electricien / Elecronicien;12/09/2017 11:42
1000;DUEL en Communication;12/09/2017 14:46
1001;Licence en Communication option Médiatique;12/09/2017 15:03
1002;Diplôme de Technicien Supérieur en Comptabilité et Management d’Entreprise (DTS);12/09/2017 15:11
1003;First certificat of CNELA;13/09/2017 06:16
1004;Master II Genie Industriel;13/09/2017 11:48
1005;Licence en Génie Mécanique et Informatique Industrielle;13/09/2017 14:44
1006;Attestation de formation de Technicien de Maintenance Industrielle;13/09/2017 14:55
1007;DTS en Gestion et Management ;13/09/2017 15:04
1008;bacc+3 en finances et comptabilité;14/09/2017 09:07
1009;Diplôme de Technicien Supérieur Spécialisé en ECOTOURISME ET HOTELLERIE;14/09/2017 11:52
1010;D.E.L.F B1/B2;14/09/2017 11:56
1011;Maîtrise en Géoscience, Environnement et Aménagement;14/09/2017 13:53
1012;Master I en Ressources Humaines;14/09/2017 15:17
1013;DELF B2;14/09/2017 15:19
1014;Technicien Supérieur, filière Gestion/Management, Option transit et douane;14/09/2017 15:39
1015;Certificat Advanced ;14/09/2017 15:44
1016;Diplôme d'étude Professionnelles;15/09/2017 06:50
1017;Licence en Management d'entreprise;15/09/2017 08:42
1018;Niveau 2 (Pas arrive a terme);15/09/2017 13:17
1019;Formation en Bureautique et Dactylographie;15/09/2017 13:47
1020;Baccalauréat série Secretariat;15/09/2017 14:38
1021;Certificat d'Aptitude Professionel;15/09/2017 14:39
1022;Master 2 en Droit public (en cours, cours à distance);16/09/2017 10:24
1023;BTS (Commerce International);16/09/2017 16:34
1024;LICENCE PROFESSIONNELLE EN GESTION;17/09/2017 14:00
1025;Niveau Bacc+3 en Management;17/09/2017 21:20
1026;LICENCES ES LETTRES ETUDES FRANCAISES ET FRANCOPHONES;18/09/2017 12:56
1027;Ingénieur Telecommunication reseau et systeme;18/09/2017 23:06
1028;Baccalauréat de l'enseignement général Série D;19/09/2017 09:22
1029;Master II (Ingéniorat) en ECONOMIE ET COMMERCE, Option Administration d'Entreprise;19/09/2017 09:28
1030;Diplôme de Licence  professionnelle en Agronomie ;19/09/2017 11:37
1031;Licence en Médiation culturelle;19/09/2017 13:18
1032;MASTER 1 en communication et Management;19/09/2017 13:22
1033;Licence en Comptabilité et Administration d'entreprise;19/09/2017 14:53
1034;Formation en Management;19/09/2017 15:15
1035;Bacc Professionel en TMEL;20/09/2017 06:21
1036;Formation en langue anglaise;20/09/2017 06:22
1037;Licence professionnel en Management d'unité commerciale ;20/09/2017 06:27
1038;BTS en Management des Unités commerciales;20/09/2017 06:28
1039;Formation en comptabilité;20/09/2017 06:39
1040;C.e.p.e,B.e.p.c;20/09/2017 09:06
1041;Bacc+3 en informatique;20/09/2017 14:48
1042;Formation en informatique (maintenance et réseau);20/09/2017 15:30
1043;Attestation de formation en informatique: opérateur de saisie, rédacteur web;21/09/2017 08:46
1044;Certificat de formation en mécanique automobile.;21/09/2017 08:53
1045;Certificat de stage en TRANSIT EN DOUANE;21/09/2017 08:53
1046;Certicat de fin de formation ;21/09/2017 08:53
1047;Certicat de fin de formation en langue française;21/09/2017 08:53
1048;Certificat de fin de formation ;21/09/2017 08:53
1049;Certicat de fin de formation en prévoyance sociale;21/09/2017 08:53
1050;Licence en Physique des Signaux et Systèmes;21/09/2017 09:40
1051;Ingénieur Pétrolier;21/09/2017 09:40
1052;Brevet en Etudes Premier Cycle;21/09/2017 10:11
1053;Formation en informatique et programmation;21/09/2017 11:09
1054;DTS en Science de la vie et de la Terre;21/09/2017 11:17
1055;DTS en Sciences de la vie et environnementale;21/09/2017 11:23
1056;Formation en jeune entrepreneur;21/09/2017 11:25
1057;Formation en téléopération;21/09/2017 11:26
1058;Business and Communicative Class;21/09/2017 15:26
1059;Baccalauréat C;21/09/2017 15:35
1060;DSSC   (Diplôme Supérieur Spécialisé en Sciences Comptables);22/09/2017 08:24
1061;DSSC   (Diplôme Supérieur Spécialisé en Sciences Comptables) 6;22/09/2017 09:26
1062;DSSC   (Diplôme Supérieur Spécialisé en Sciences Comptables) 3;22/09/2017 09:58
1063;Compensation & Strategic Reward Management training ;22/09/2017 11:27
1064;Management Development Program ;22/09/2017 11:28
1065;ERP Oracle (HRMS, Self-service HR & Payroll module) training ;22/09/2017 11:31
1066;e-Recruitment software training ;22/09/2017 11:35
1067;3ème année en ECONOMIE ;22/09/2017 15:31
1068;Bacc+2 en gestion management et business administration;23/09/2017 10:41
1069;Ingéniorat;24/09/2017 09:21
1070;APTITUDE A L'ETUDE APPROFONDIE;25/09/2017 06:56
1071;ATTESTATION MARKETING OPERATIONNEL;25/09/2017 06:56
1072;FIRST CERIFICATE - ENGLISH LANGUAGE;25/09/2017 06:56
1073;Mecanique auto ;25/09/2017 08:32
1074;Baccalauréat série ES;25/09/2017 11:13
1075;licence en Droit Privé Droit des affaires;25/09/2017 11:15
1076;BREVET SUPERIEUR D'ETUDES APPROFONDIES;25/09/2017 13:03
1077;CERTIFICAT D'ASSISTANTE DE DIRECTION;25/09/2017 13:03
1078;Licence es-lettres;25/09/2017 13:06
1079;DTS en Gestion G2;25/09/2017 13:25
1080;Attestation de formation de base en Maintenance Industrielle;25/09/2017 14:34
1081;LICENCE POFESSIONNEL EN MARKETING;25/09/2017 23:06
1082;baccalauréat et DEUG;26/09/2017 09:02
1083;APTITUDE A L'ETUDE APPROFONDIE en Science Physique;26/09/2017 12:14
1084;ATTESTATION MARKETING OPERATIONNEL et MANAGEMENT;26/09/2017 12:14
1085;Baccalauréat Su;26/09/2017 13:05
1086;DTS 2;26/09/2017 13:05
1087;Bacc+3 en informatique et electronique;26/09/2017 13:05
1088;Formation en maintenance Informatique hardware et sotfware/ Administration reseaux LAN et WAN;26/09/2017 13:38
1089;3ème en Droit ;27/09/2017 07:11
1090;"3ème 	Année en Economie ";27/09/2017 07:11
1091;DUES en MATHEMATIQUE ;27/09/2017 07:11
1092;formation professionnelle en programmation ;27/09/2017 07:11
1093;Bacc +2 en Gestion et Management;27/09/2017 07:40
1094;DTS(Diplôme de Technicien supérieur) en DROIT, Licence en cours de rédaction de mémoire ;27/09/2017 07:49
1095;Licence es-lettres en Etudes Culturelles;27/09/2017 07:58
1096;Licence en  Sciences Economiques;27/09/2017 08:17
1097;Certificat de fin de formation en parfaite Secrétaire de Direction - Crédit I;27/09/2017 08:54
1098;Certificat de fin de formation en parfaite Secrétaire de Direction - Crédit II;27/09/2017 08:54
1099;Diplôme de fin de formation en Gestion des Ressources Humaines;27/09/2017 08:54
1100;Formation informatique Wardware;27/09/2017 10:03
1101;BEP en Electrnoque;27/09/2017 10:03
1102;Formation sur la production de foie gras;27/09/2017 10:51
1103;Formation en pisciculture;27/09/2017 10:51
1104;Licence professionnel en formetion hybride en sustème et réseau;27/09/2017 11:02
1105;Licence en économie et commerce;27/09/2017 11:20
1106;Licence en Option Finance;27/09/2017 11:41
1107;Certificat professionnel en cuisine;27/09/2017 13:26
1108;bacc+2 en marketing et commerce;27/09/2017 14:36
1109;Formation sur différents plateforme d'achats en ligne ;27/09/2017 15:06
1110;Baccalauréat technique en gestion;27/09/2017 15:09
1111;Bacc Mécanique auto;28/09/2017 06:17
1112;BT Mécanique auto;28/09/2017 06:17
1113;BEA Mécanique auto;28/09/2017 06:17
1114;bacc+3 en gestion, comptabilité financière;28/09/2017 07:09
1115;BACC+3 Comptable Finance;28/09/2017 09:52
1116;Master Administration, Comptabilité, Finance, Mention Administration, Spécialité Marketing et Stratégie;28/09/2017 10:08
1117;Diplôme Supérieur spécialisé en Sciences de l’Administration d’Entreprises (DSSAE);28/09/2017 10:08
1118;Attestation de Fin de Formation délivrée par l’Autorité de Régulation des Marchés Publics;28/09/2017 10:08
1119;certificat de maîtrise de logiciel;28/09/2017 11:00
1120;certificat de maîtrise logiciel;28/09/2017 11:00
1121;Certificat en assistant de direction;02/10/2017 10:59
1122;Certificat en Gestion des ressources humaines, Droit de travail et coaching;02/10/2017 10:59
1123;Certicat de fin de formation en bureautique informatique;03/10/2017 12:16
1124;Deuxième année en Droit;03/10/2017 12:36
1125;Licence année en Droit;03/10/2017 12:36
1126;Diplôme d'Etude Supérieures Professionnelles ( DESP);05/10/2017 09:05
1127;Master II;05/10/2017 09:14
1128;Licence en siences de la vie;05/10/2017 09:17
1129;Formation en Publication Assistée par Ordinateur (PAO);06/10/2017 08:50
1130;Anglais ;06/10/2017 09:22
1131;Licence en Génie Industriel;08/10/2017 16:04
1132;Formation en  coiffure et esthétique;09/10/2017 09:23
1133;bacc +2 en gestion et comptabilité;09/10/2017 10:16
1134;Formation en français;09/10/2017 10:16
1135;Licence Professionnelle en Gestion et management d'entreprise;09/10/2017 11:14
1136;Certificat sur la culture de crédit, la culture entrepreneuriale, l'approvisionnement et gestion de stock;09/10/2017 13:42
1137;Certificat sur la comptabilité simplifiée;09/10/2017 13:42
1138;Etude en Technique de communication d'Entreprise;10/10/2017 08:40
1139;2éme année en Technique de communication d'Entreprise;10/10/2017 09:28
1140;Formation professionelle en informatique bureautique et programation;10/10/2017 14:19
1141;Technicien supérieur en Gestion;11/10/2017 06:17
1142;DEUG en Economie et Gestion;11/10/2017 09:53
1143;Baccalauréat A1;11/10/2017 13:05
1144;Formation commerciale;11/10/2017 13:05
1145;Bacc+2 en Informatique et électronique ;12/10/2017 06:15
1146;Certificat level III en langue anglaise;12/10/2017 06:15
1147;Certificat CiscoNetriders Continent Africain;12/10/2017 08:43
1148;Formation Cisco spécialisation Réseau et Télécommunication;12/10/2017 08:50
1149;Master II en Informatique parcours Télécommunication ;12/10/2017 10:06
1150;Formation en marketing et gestion informatisée;12/10/2017 12:26
1151;Formation en anglais;12/10/2017 12:26
1152;Certificat en transit et douanes, sydonia ++;12/10/2017 12:28
1153;Master I en commerce Internationale;12/10/2017 14:40
1154;Baccalauréat technique en commerce internationale;12/10/2017 14:40
1155;Master I;12/10/2017 14:42
1156;Licence en langues étrangères, spécialisé en espagnol;12/10/2017 15:32
1157;Master1 en droit privé;13/10/2017 09:49
1158;Licence en commerce internationale;13/10/2017 13:31
1159;Niveau 2 en mandarin;13/10/2017 13:39
1160;Licence en Commerce International, management et marketing;15/10/2017 08:54
1161;B2;15/10/2017 18:47
1162;Comptabilité;15/10/2017 18:47
1163;DTS en Tourisme;16/10/2017 08:47
1164;DTS en Gestion-Informatisée;16/10/2017 08:47
1165;Attestation en Tourist Guide Formation;16/10/2017 08:47
1166;Graduate of Industrial Engineering ( I&C) with High honors;16/10/2017 13:54
1167;BACC Scientist;16/10/2017 13:54
1168;de formation en Gestion de performances dans la micro finance;16/10/2017 14:56
1169;Attestation de formation en Développement personnel ;16/10/2017 14:56
1170;BAC+5 en Finances, option Contrôle de Gestion;16/10/2017 14:56
1171;BAC+3 en management des entreprises et commerce;16/10/2017 14:56
1172;Baccalauréat technique ,serie tertiaire;17/10/2017 07:01
1173;Brevet technique;17/10/2017 07:01
1174;Brevet d'Agent D'exécution (aide comptable);17/10/2017 07:01
1175;Téléopératrice;17/10/2017 11:05
1176;License En Informatique;17/10/2017 14:23
1177;Ingenieur en Bâtiment et Travaux Publics;18/10/2017 06:29
1178;attestation de formation en gestion de stock et magasin;18/10/2017 08:41
1179;L3 STIC;18/10/2017 11:09
1180;informatique bureatique;18/10/2017 11:19
1181;Bacc série A ,infirmiere;18/10/2017 11:27
1182;Master 2 en Génie de procédés chimiques et industriels;18/10/2017 15:03
1183;Licence en Génie de procédés chimiques et industriels;18/10/2017 15:03
1184;Formation sur l'huile essentielles et analyse CPG;18/10/2017 15:04
1185;Master 1 en finance et comptabilité;18/10/2017 15:11
1186;License en Réseau et Syteme Linux;19/10/2017 04:20
1187;DTS en Gestion des PME;19/10/2017 04:20
1188;Lenovo Authorized Technician;19/10/2017 09:16
1189;Technicien de Maintenance Industrielle;19/10/2017 09:22
1190;DTS en droit et science politique;19/10/2017 13:22
1191;Licence en Masters 1 en Commerce International et marketing;20/10/2017 07:26
1192;Licence en Marketing et commerce international;20/10/2017 07:26
1193;Baccalauréat technique (en éléctronique);20/10/2017 16:39
1194;Licence en éléctromécanique(en cours de delivrence);20/10/2017 16:39
1195;Diplôme d'études Spécalisées en Psycho-pédagogie;21/10/2017 10:13
1196;License en Communication d'entreprise;21/10/2017 15:32
1197;Diplôme en Allemand;23/10/2017 08:04
1198;Certificat en Maintenance et dépannage de Micro- Ordinateur PC, -Certificat en Programmation sous Ms-Access,;23/10/2017 09:07
1199;Certificat de fin d'études en Francais;23/10/2017 09:07
1200;Maîtrise en gestion, option audit et contrôle de gestion;23/10/2017 09:31
1201;Formation AMADEUS;23/10/2017 09:31
1202;DTS Développeur web et application;23/10/2017 10:16
1203;Baccalauréat Technologie Tertiaire;23/10/2017 12:47
1204;Formation en gestion et comptabilité;23/10/2017 12:47
1205;Licence en Environnement;23/10/2017 13:01
1206;Master 2 droit des affaires;23/10/2017 13:41
1207;Licence en études françaises et francophones;23/10/2017 13:41
1208;diplome de technicien superieur en commerce international;23/10/2017 14:16
1209;nela first certificate;23/10/2017 14:16
1210;Internet burerautique;23/10/2017 14:16
1211;BAC +3;24/10/2017 08:20
1212;Bacc+4 en sciences sociales de developpement;24/10/2017 09:29
1213;Comment gérer les clients difficiles?;24/10/2017 11:26
1214;Master 1 Management Marketing et Commerce International;24/10/2017 11:26
1215;Licence en Management Marketing et Commerce International;24/10/2017 11:26
1216;Certificat sur : Comment gérer les clients difficiles?;24/10/2017 13:24
1217;BAE BANQUE;25/10/2017 11:44
1218;BT Technique de Gestion;25/10/2017 11:44
1219;BAE Aide Comptable;25/10/2017 11:44
1220;Attestation en science de l'éducation;25/10/2017 12:38
1221;Anglais niveau 3;25/10/2017 12:38
1222;Certificat en informatique;25/10/2017 12:38
1223;BTS en Gestion Finance et Comptabilité;25/10/2017 13:16
1224;Bacc + 4 en Economie;25/10/2017 13:23
1225;Diplôme en Mécanique automobile;25/10/2017 13:52
1226;BTS Commercial et Vente / BTS Management;26/10/2017 05:06
1227;Cadre gestionnaire d’un centre de profit  ;26/10/2017 05:06
1228;Baccalauréat en Gestion;26/10/2017 09:41
1229;Certificat international en communication et relarion client;26/10/2017 12:05
1230;bac+2 en medecine;26/10/2017 14:08
1231;Ingénieur en Génie Industriel Maintenance et Production;27/10/2017 10:27
1232;BTS BACC+2 EN ELECTROMECANIQUE;27/10/2017 10:27
1233;License en Informatique de gestion;27/10/2017 12:55
1234;BAC+3 EN FINANCE COMPTABILITE;27/10/2017 13:59
1235;BAC+3B EN MARKETING-COMMERCIALISATIO;27/10/2017 13:59
1236;BAC+3 EN GESTION;27/10/2017 13:59
1237;Bacc + 4 en Économie,  option en administration;27/10/2017 15:04
1238;Licence en gestion économique management;27/10/2017 15:44
1239;Socio-organisateur du projet Micro-Irrigation et Agro écologie pour une meilleure Sécurité Alimentaire;27/10/2017 15:44
1240;Traiteur;27/10/2017 15:44
1241;licence en marketing et commercialisation;27/10/2017 17:03
1242;PREMIERE ANNEE EN COMMUNICATION;28/10/2017 09:06
1243;BAC+3 EN FINANCE-COMPTABILITE;28/10/2017 10:07
1244;BAC+3 EN MARKETING-COMMERCIALISATION;28/10/2017 10:07
1245;BAC Technologique;28/10/2017 15:01
1246;License Professionnel en Informatique parcours Développement d'application;28/10/2017 15:01
1247;Concepteur Architecture en Informatique parcours Réseaux et Systèmes;28/10/2017 15:01
1248;licence professionnelle en Informaitque;28/10/2017 21:32
1249;DEA CHIMIE ORGANIQUE;30/10/2017 09:13
1250;ATTESTATION EN MARKETING OPERATIONNEL;30/10/2017 09:13
1251;FIRST CERTIFICATE IN ENGLISH LANGAGE;30/10/2017 09:13
1252;licence en management des PME spécialité tourisme et hôtellerie;30/10/2017 13:23
1253;étudiante en Ressources Humaines;30/10/2017 13:49
1254;DUEL II (Bacc+2) en études anglaises;30/10/2017 14:49
1255;DTS en Finances et Comptabilités;30/10/2017 16:39
1256;Diplôme de Technicien Supérieur Spécialisé (DTSS) en Exploitation en Logistique et Transport;31/10/2017 08:57
1257;Diplôme de Technicien Supérieur  (DTS) en Gestion de Transport et Logistique;31/10/2017 08:57
1258;Bacc tecnique en Gestion;31/10/2017 08:57
1259;cerficat de fin de formation en creation et developpement d'entreprise;31/10/2017 11:05
1260;Certificat de fin d'études en anglais et certificat de fin de formation missionnaire;31/10/2017 11:05
1261;certificat de fin de midssion et formation en gestion financier des gros capitaux;31/10/2017 11:05
1262;Master II en Gestion, spécialisé en controle de gestion;31/10/2017 11:15
1263; MAÎTRISE ET D.E.A.;31/10/2017 11:46
1264;Bacc série A - mention passable;31/10/2017 14:19
1265;Certificat de fin d'étude 2eme année en Gestion;31/10/2017 14:19
1266;Licence gestion et administration d'entreprise;31/10/2017 14:53
1267;BACC +3 EN FINANCE COMPTABILITÉ;31/10/2017 15:16
1268;BACC +3 EN MARKETING-COMMERCIALISATION;31/10/2017 15:16
1269;BACC +3 EN GESTION;31/10/2017 15:16
1270;licence en travail social et developpement;01/11/2017 08:01
1271;DTS en commerce;01/11/2017 11:46
1272;Téchnicien Supérieur en Machinisme Agricole;01/11/2017 17:37
1273;Licence en Biologie des Organismes et des Ecosystèmes;02/11/2017 06:52
1274;BAC + 2;02/11/2017 10:06
1275;DPAEC (Bac +3);02/11/2017 15:59
1276;Formation en GRH et Administration du personel;02/11/2017 16:35
1277;Master 1 en Analyse financière;03/11/2017 09:34
1278;Licence Professionnelle en Environnement;03/11/2017 10:30
1279;Formation en Pâtisserie;03/11/2017 10:30
1280;Licence Marketing et Commerce international;03/11/2017 13:51
1281;LICENCE PROFESSIONNELLE EN  ADMINISTRATION D'ENTREPRISE ET COMMERCE;03/11/2017 14:23
1282;DTS en commerce et administration des affaires;03/11/2017 16:12
1283;Brevet d'Agent de Maitrise (BAM 3);03/11/2017 16:29
1284;Attestation à la formation en gestion des ressources humaines;03/11/2017 16:29
1285;Attestration à la formation en Management et Leadership;03/11/2017 16:29
1286;licence en Droit Privé Droit;06/11/2017 10:57
1287;Diplôme d'Etudes Supérieures en Management;06/11/2017 12:44
1288;FORMATION LINUX;06/11/2017 16:33
1289;Master d'ingénierie en systèmes électronique informatique;07/11/2017 09:10
1290;certificat bureautique;07/11/2017 09:20
1291;maîtrise en Economie option macroéconomie et modélisation ;08/11/2017 09:10
1292;Cerfificat de formation des formateurs sur le technique de recouvrement de crédits;08/11/2017 09:21
1293;Licence en  adminstration l’ entreprise et du commerce;08/11/2017 09:21
1294;Brevet d'étude du premier cycle;08/11/2017 09:21
1295;Certificat de fin d'étude 2 ème année en Gestion;08/11/2017 09:37
1296;Licence en comptabilité de gestion;08/11/2017 15:02
1297;Licence en gestion spécialisé en commerce international;09/11/2017 08:22
1298;3 ème année en Administration d'entreprise;09/11/2017 11:53
1299;level 1 anglais;09/11/2017 11:53
1300;"BAC A2 avec mention ""assez bien""";09/11/2017 12:05
1301;Licence en Banque et Institution financière;09/11/2017 12:43
1302;Formation en BIT sur approfondissement bureautique;09/11/2017 12:43
1303;BACC G2 et BEP G2;09/11/2017 12:43
1304;Licence en langue et culture Chinoise;09/11/2017 12:53
1305;Lycence en  Analyse financière;10/11/2017 10:31
1306;Lecence En Banque et Institutions financières;10/11/2017 10:34
1307;BAC A2 avec mention ;10/11/2017 10:39
1308;Licence en communication organisationnelle;10/11/2017 13:39
1309;DELF;10/11/2017 13:39
1310;BACC+3 en option banque et institution financiere ;10/11/2017 15:53
1311;DESTH;11/11/2017 09:37
1312;Diplôme supérieur d'études en gestion;11/11/2017 10:46
1313;4ème année en gestion, section généraliste ;11/11/2017 10:46
1314;Formation en commerce international et Transit;11/11/2017 10:46
1315;Encours Master en Management d'entreprise et Banque;13/11/2017 15:10
1316;Licence en Management d'entreprise et Banque;13/11/2017 15:10
1317;BAC+2 en Sciences économique;13/11/2017 15:10
1318;Diplôme d’Etude en Langue Française (DELF B2);13/11/2017 16:38
1319;Licence en Sciences Sociales de développement;13/11/2017 16:38
1320;Diplôme de Technicien Supérieur en gestion informatisée;13/11/2017 16:38
1321;Certificat d'étude en mécanique Automobile;14/11/2017 10:15
1322;Formation en Suivi et recouvrement des engagements;14/11/2017 10:49
1323;Formation en Gestion environnementale et sociale;14/11/2017 10:49
1324;Formation en Accueil clientèle;14/11/2017 10:49
1325;Formation en Mésofinance;14/11/2017 10:49
1326;Formation en Webmaster;14/11/2017 10:49
1327;Infirmière généraliste;14/11/2017 12:37
1328;DUEP (Diplôme Universitaire d'Etude Philosophie);14/11/2017 15:49
1329;1 ère année universitaire en Droit;14/11/2017 16:38
1330;CEPE- BEPC-BACC;14/11/2017 16:40
1331;Etude en langue française niveau B2;15/11/2017 07:33
1332;Formation en EXCEL Avancé;15/11/2017 08:13
1333;Ingénieur en Gestion;15/11/2017 08:13
1334;Diplôme de Technicien Supérieur en Gestion des Petites et Moyennes Entreprises;15/11/2017 08:13
1335;BAC G1 et BEP G1;15/11/2017 09:55
1336;BEA,BT,BAC (mecanique automobile);15/11/2017 10:26
1337;DTS Economie;15/11/2017 11:27
1338;Ingénieur des mines;15/11/2017 16:03
1339;baccalauréat(Enseignement général);16/11/2017 16:05
1340;Ingénieur  en Energie;16/11/2017 16:27
1341;Attestation de la fin de module théorique de la 4ème année en gestion;17/11/2017 08:35
1342;Licence Professionnelle en Gestion Management Informatisée;17/11/2017 09:10
1343;Licence en organisation, gestion et administation;17/11/2017 12:25
1344;BACC + 2 COMMERCE / MARKETING;20/11/2017 09:53
1345;Bacalaureat;20/11/2017 12:23
1346;BAC SÉRIE A1;20/11/2017 15:50
1347;Licences en sciences commerciales;20/11/2017 16:40
1348;Master 1 en sciences sociales;21/11/2017 08:11
1349;BACC + 4 EN GESTION D'ADMINISTRATION ET DROIT;21/11/2017 09:18
1350;Bac + 4 en comptabilité finance;21/11/2017 12:01
1351;Baccalauréat de l'enseignement général ;22/11/2017 10:28
1352;Liecence professionnelle;22/11/2017 16:30
1353;Deuxième année;22/11/2017 16:30
1354;Master 1 en BTP;24/11/2017 10:08
1355;BTS en Mécanique automobile;24/11/2017 10:17
1356;BEP en mécanique automobile ;24/11/2017 10:17
1357;Baccalauréat technique en mécanique automobile;24/11/2017 10:17
1358;En attente de la sortie de promotion pour avoir le Diplôme Master;24/11/2017 10:37
1359;DTS BTP;24/11/2017 10:49
1360;Certificat HSE;24/11/2017 10:49
1361;Brevet d'agent d'execution (Banque);24/11/2017 13:37
1362;DUEP (Diplôme Universitaire d'Etude Philosophique);24/11/2017 15:37
1363;attestation de diplome d'ingeniorat en BTP;25/11/2017 07:38
1364;licence professionnelle en Gestion et Administartion des entreprises;25/11/2017 10:09
1365;BACC PROFESSIONNEL BTP option projeteur calculateur;27/11/2017 09:00
1366;Master 2 en aménagement et tourisme;27/11/2017 11:33
1367;Maitrise en économie, macroéconomie;27/11/2017 13:50
1368;remise en niveau de français/ mode de saisie;27/11/2017 14:58
1369;Operateur de Saisie;27/11/2017 14:58
1370;B.T.S ;28/11/2017 09:12
1371;Certificate of participation global classroom to the Age of Sustainable Development;28/11/2017 09:54
1372;Certificat de participation en rôle de l'Etat dans l'intelligence  économique ;28/11/2017 09:54
1373;Certificat de participation en pratique de la négociation internationale;28/11/2017 09:54
1374;Certificat de participation en Gouvernance territoriale et developpement local;28/11/2017 09:54
1375;Maitraîse en droit des affaires;28/11/2017 10:48
1376;Certificat de participation en Web 2.0;28/11/2017 12:35
1377;Certificat d'étude en administration système et réseau;28/11/2017 12:35
1378;BACC + 2 en commerce international ;28/11/2017 14:48
1379;Diplôme de sauveteur secourisme de travail ;28/11/2017 14:48
1380;Diplîme d'Etude Supérieur  Professionnel en BTP parcours Travaux Publics;29/11/2017 08:04
1381;Formation CISCO- Préparation CCNA;29/11/2017 08:10
1382;Certificat en langue;29/11/2017 08:10
1383;Baccalauréat technique en mécanique automobile et BEP;29/11/2017 08:10
1384;DEGSC (Master I);29/11/2017 08:11
1385;Formation spécialisé de visioconférence et web conférence;29/11/2017 08:17
1386;Certificat en Management - Administrations des entreprises privées et public;29/11/2017 10:04
1387;Certificat en systèmes d´information Géographique (SIG) ;29/11/2017 10:04
1388;Certicat sur  l´outils de planification de l´électrification rurale GEOSIM ;29/11/2017 10:04
1389;L2 en commerce et marketing;29/11/2017 12:07
1390;Ingénierie de projet, politique locale et TIC , et aménagement touristique;29/11/2017 16:02
1391;Licence 3 en Géographie préparatoire aux métiers de l'aménagement;29/11/2017 16:02
1392;Licence 2 en géographie;29/11/2017 16:02
1393;Licence 1 en géographie;29/11/2017 16:02
1394;BACC Economique et Social ;29/11/2017 16:02
1395;"Brevet technique ""Technique de Gestion"" et Brevet d'Agent d'Exécution ""Aide Comptable""";30/11/2017 08:08
1396;Certificat de formation sur le PCG 2005;30/11/2017 08:08
1397;Certificat de formation de formateur BRIDGE (Build Ressources In Democracy Governance and Election;30/11/2017 08:08
1398;Certificat de formation en tant qu'auditeur qualité interne ;30/11/2017 08:08
1399;Formateur des Formateurs;30/11/2017 11:03
1400;Certificat niveau 2 en langue anglaise;30/11/2017 14:08
1401;Français parlé;30/11/2017 14:08
1402;niveau bacc+2 en gestion;30/11/2017 14:46
1403;Technicien Supérieur en mécanique automobile;30/11/2017 16:49
