id;universite;created
1083;CNTEMAD ( Centre National de Télé-enseignement de Madagascar;06/04/2018 10:03
1084;Lycée privé Charlemaigne;10/04/2018 08:59
1085;ARMI 67 ha;10/04/2018 08:59
1086;GRF Ambatomitsangana;11/04/2018 10:41
1087;Association Mpamakilain'i Madagasikara;11/04/2018 10:41
1088;Ministère du commerce, Centre de formation en commerce international et concurrence;11/04/2018 12:48
1089;Centre d'Education Permanente des Adultes ;11/04/2018 12:49
1090;Lycée Ambohimanarina;11/04/2018 12:49
1091;de l’Université d’Antananarivo;12/04/2018 11:32
1092;IFAGI & PARAMED Ambatomitsagana;13/04/2018 12:15
1093;LJR TAMATAVE;17/04/2018 17:03
1094;La Petite Merveille;19/04/2018 08:41
1095;accem ivato;19/04/2018 12:09
1096;english teaching program;19/04/2018 12:09
1097;British council ;19/04/2018 13:01
1098;Knowledge Institute Ambondrona;19/04/2018 13:01
1099;Knowledge Institute;19/04/2018 13:01
1100;Centre Moramanga;19/04/2018 14:45
1101;Lycée Privé BAMBINO Moramanga;19/04/2018 14:45
1102;Lycée Privé FANILO Analamahitsy;19/04/2018 14:45
1103;VATEL;19/04/2018 16:59
1104;COLLEGE SAINT GABRIEL;20/04/2018 16:50
1105;UNIVERSITÉ POLYTECHNIQUE D'AVARADRANO UPA/HPI MASCA;24/04/2018 12:50
1106;Université privée Hay soa;26/04/2018 00:39
1107;Lycée technique Toamasina ;26/04/2018 10:01
1108;Take Charge of Your Life;26/04/2018 10:31
1109;Lycée Arivonimamo;27/04/2018 09:10
1110;Université d'Antananarivo- Faculté des Sciences;27/04/2018 09:10
1111;Université d'Antananarivo - ESPA;27/04/2018 09:10
1112;CEG ALASORA;27/04/2018 09:54
1113;L'OEUVRE DU BON SAMARITAIN, Analamahitsy, Antananarivo;02/05/2018 06:40
1114;Lycee privee la caravelle ;02/05/2018 17:28
1115;Lycée Saint Jean Baptiste Ambohitrimanjaka;03/05/2018 11:39
1116;ISMR Miarinarivo;03/05/2018 12:43
1117;Mc Donald's France ;03/05/2018 14:07
1118;EVERGREEN HOTEL  ;06/05/2018 22:33
1119; INSTITUT CONFUCIUS ;06/05/2018 22:33
1120;LPA Alarobia;07/05/2018 11:44
1121;SOCIETE ELIOTEK COMPUTER;07/05/2018 11:44
1122;INSUC Toamasina;08/05/2018 08:41
1123;ratiqué par le système SYDONIA ++;08/05/2018 08:41
1124;centre de formation CAD et TM douane tsaralalana ;08/05/2018 08:41
1125;PARCOURS;08/05/2018 15:49
1126;GATE UNIVERSITY AMBOHIDRATRIMO;10/05/2018 11:55
1127;UNIVERSITE ECAT TARATRA FIANARANTSOA;10/05/2018 11:55
1128;GATE UNVIVERSITY AMBOHIDRATRIMO;10/05/2018 11:55
1129;ECAT TARATRA FIANARANTSOA;10/05/2018 11:55
1130;IMT;13/05/2018 11:33
1131;Collège Coindre Arivonimamo;14/05/2018 17:27
1132;Lycée Vohipeno;16/05/2018 11:01
1133;Univesité de Fianarantsoa;16/05/2018 11:01
1134;Formation offert par SYNERGY COMMUNICATION ;16/05/2018 11:09
1135;GROUPE ACEEM;16/05/2018 12:34
1136;CRADEC (Conseil-Recherche Action pour le Développement Communautaire);16/05/2018 17:26
1137;FORMATION DES TECHNICIENS SUPERIEURS  ANTSIRABE (FTS);16/05/2018 20:33
1138;Institut National de Promotion et de Formation (INPF Ivato);17/05/2018 09:30
1139;Formation de Technicien Superieure Antsirabe ;17/05/2018 09:52
1140;Ecole Nationale d’Informatique (ENI) de l’Université  ……..Fianarantsoa;17/05/2018 21:56
1141;Ecole Nationale d’Informatique (ENI) de l’Université Fianarantsoa;17/05/2018 22:03
1142;Ecole Nationale d’Informatique (ENI) de l’Université  Fianarantsoa;17/05/2018 22:08
1143;LTP Ampasampito Antananarivo;17/05/2018 22:08
1144;Centum Learning Limited;18/05/2018 09:52
1145;OUTREMER TELECOM;18/05/2018 11:14
1146;Universite GSI;19/05/2018 12:17
1147;Ancien sapeur pompier de PARIS;19/05/2018 12:18
1148;Amity university;20/05/2018 12:59
1149;Ecole supérieure de commerce;20/05/2018 12:59
1150;ISSG/Emir Consulting;22/05/2018 12:51
1151;IST Ampasampito;23/05/2018 11:26
1152;Ankatso et CNTEMAD;23/05/2018 13:28
1153;La pepinière ;23/05/2018 14:39
1154;Ecole Jean Juste Antsirabe;23/05/2018 14:39
1155;ISCAM Ankadifotsy Antananarivo;23/05/2018 17:52
1156;Ankarana;25/05/2018 14:57
1157;Formation en hébergement/réception ;25/05/2018 17:11
1158; peter pan;26/05/2018 11:06
1159;LYCEE TECHNIQUE COMMERCIL;28/05/2018 17:26
1160; Université d’Antananarivo, Faculté des Sciences;29/05/2018 13:36
1161;UNIVERSITE D'ANTANANARIVO Ankatso;30/05/2018 15:31
1162;Institut National du Tourisme et de l’Hôtellerie (INTH);30/05/2018 15:48
1163;Institut Supérieur de Technologie d’Antananarivo (IST-T);30/05/2018 15:48
1164;BIG INFORMATIQUE;30/05/2018 17:43
1165;ZIEGRA ALLEMAGNE;31/05/2018 10:01
1166;Université antananaro;31/05/2018 10:01
1167;ISSG EMIR Consultings;01/06/2018 14:01
1168;Lycee Arcade Talatamaty;01/06/2018 14:08
1169;ACEEM Analakely;04/06/2018 14:02
1170;AMITY UNIVERSITY UTTAR PRADESH (Inde);04/06/2018 14:39
1171;SPEAK ENGLISH TANA;04/06/2018 14:39
1172;Centre de formation MDF;04/06/2018 16:25
1173;Centre d'orientation MDF;04/06/2018 16:25
1174;KENTIA FORMATION;04/06/2018 16:25
1175;Faculté des lettreS et sciences humaines ANTANANARIVO ;05/06/2018 10:50
1176;Centre de formation douane Antananarivo;05/06/2018 12:54
1177;Centre de formation en douane;05/06/2018 13:43
1178;Lycée RAHERIVELO RAMAMONJY Fianarantsoa;06/06/2018 10:59
1179;ISM Antananarivo;07/06/2018 14:41
1180;CCIFM / QUALINNOVE;08/06/2018 11:14
1181;CCIFM / INSCAE;08/06/2018 11:14
1182;IMC;08/06/2018 11:14
1183;Foyer Ecole Zo Tahina;08/06/2018 11:14
1184;Cours Arcade;08/06/2018 11:14
1185;eca info;08/06/2018 12:51
1186;centre de formation de la douane Tsaralalana ;12/06/2018 08:35
1187;bac +2 communication CNTEMAD;12/06/2018 15:22
1188;E.M.T.H. Mahanjanga;13/06/2018 11:12
1189;Lycée technique professionnel Mahajanga ;13/06/2018 11:12
1190;CEG Charles Renel ;13/06/2018 11:12
1191;AIR LIQUIDE SOAM;13/06/2018 13:47
1192;FJKM Faratsiho;19/06/2018 11:45
1193;CEG Ambohimanarina;19/06/2018 19:47
1194;Association LLB Madagascar;20/06/2018 10:48
1195;Lycée privée CPE TULEAR;22/06/2018 16:49
