id;universite;created
308;Institut Supérieur de Technologie d'Antananarivo;26/04/2017 08:39
309;Lycée Technique Commerciale Ampefiloha;26/04/2017 08:39
310;med;26/04/2017 13:32
311;ESSGaM;26/04/2017 13:36
312;CEFOR;27/04/2017 06:18
313;ankatso Antananarivo;27/04/2017 06:38
314;Banque Mondiale de Madagascar;27/04/2017 06:38
315;MDS CANADA;27/04/2017 06:38
316;IUGM;27/04/2017 07:00
317;Lycée privée Notre Dame;27/04/2017 07:00
318;NDA Mahitsy;27/04/2017 08:32
319;IFPA Aceem;27/04/2017 08:44
320;Université privée de madagascar;27/04/2017 10:18
321;University of PARIS XIII;28/04/2017 10:39
322;University of BORDEAUX I;28/04/2017 10:39
323;Lycée Michel Montaigne;28/04/2017 10:39
324;Lycée Saint François Xavier;28/04/2017 11:41
325;Lycée Français de Tamatave;29/04/2017 12:39
326;Université de Picardie Jules Verne;29/04/2017 12:39
327;Centra National du Télé-Enseignement de Madagascar;29/04/2017 12:39
328;Ifen au Havre;30/04/2017 20:02
329;INSCAE  67ha, Antananarivo 101;01/05/2017 13:48
330;UNIECO - Formation à distance;01/05/2017 13:48
331;Ecole des Frères Soavimbahoaka;01/05/2017 13:48
332;Faculté DEGS Ankatso ;02/05/2017 11:44
333;SHERRIT;02/05/2017 15:40
334;NEWREST;02/05/2017 15:40
335;PARAMEDIC SOS;02/05/2017 15:40
336;SNC LAVALIN ;02/05/2017 15:40
337;ERD;03/05/2017 12:12
338;Lycée Technique Professionnel Beravina;04/05/2017 08:17
339;Lycée Sacré Anosisoa;04/05/2017 09:45
340;IFAGI;04/05/2017 09:54
341;lycee philibert tsiranana;04/05/2017 12:02
342;JCI Mahajanga;04/05/2017 12:02
343;CROUSTIPAIN;05/05/2017 06:22
344;Alliance Française;05/05/2017 06:41
345;JPM FORMATION, ETUDE ET CONSEIL CARMEN EDUCATIVA;05/05/2017 06:43
346;ETS SAINT MICHEL AMPARIBE  ;05/05/2017 09:39
347;Auccun;06/05/2017 13:49
348;RLG ;07/05/2017 14:29
349;LTPN;08/05/2017 07:08
350;Lycée Catholique Saint Antoine;08/05/2017 08:55
351;Ecole Normale Supérieure Ampefiloha;08/05/2017 10:16
352;POLYTECHNIQUE D'ANTSIRANANA;09/05/2017 08:03
353;UNIECO Formation à Distance;09/05/2017 09:42
354;JCI;09/05/2017 12:19
355; Chambre de Commerce et d'Industrie d'Antananarivo;09/05/2017 14:58
356;Ecole Nationale de l'Informatique (ENI);10/05/2017 07:21
357;Lycée Laurent Botokely;10/05/2017 07:22
358;ISM;10/05/2017 14:14
359;CFP Antaninandro;10/05/2017 14:14
360;Orange Business School  OBS;10/05/2017 14:50
361;Welcom center;10/05/2017 14:50
362;Tananarivo Business shool;10/05/2017 14:50
363;LEADER INFO;10/05/2017 14:50
364;CUR ANKATSO;11/05/2017 07:57
365;INSTITUT DE MANAGEMENT ET GESTION APPLIQUE;12/05/2017 09:03
366;Institut Supérieur des polytechniciens Novateurs de Madagascar;12/05/2017 09:16
367;Faculté DEGS Andrainjato Fianarantsoa;14/05/2017 20:28
368;arcade;15/05/2017 07:25
369;FDC Behoririka;15/05/2017 10:00
370;LYCEE LE PILLIER ;16/05/2017 09:50
371;Université privé d'Antsirabe;16/05/2017 09:50
372;Saint Vincent de Paul Ambatonilita;16/05/2017 11:05
373;Institut de Formation Technique (IFT) ANTANANARIVO;16/05/2017 19:52
374;ESPIC;22/05/2017 14:18
375;Lycée St Laurent;23/05/2017 08:55
376;EPP;23/05/2017 09:31
377;MDF;23/05/2017 09:42
378;Lycée Cathholique Saint vincent de Paul;23/05/2017 14:40
379;St Michel Itaosy;26/05/2017 12:41
380;Institut Supérieur Saint Michel Itaosy;26/05/2017 12:41
381;LTPGC Mahamasina;26/05/2017 17:27
382;Institut Supérieur Polytechnique des Novateurs de Madagascar INSPNMAD;29/05/2017 12:39
383;;29/05/2017 14:48
384;MARSEILLE;30/05/2017 13:52
385;Paris Sorbonne;30/05/2017 13:52
386;Université de Fianaranstoa;30/05/2017 17:42
387;LTP Fianarantsoa;31/05/2017 07:19
388;PENSER Madagascar;31/05/2017 07:19
389;Endress-Hauser;31/05/2017 08:26
390;CFA Ambatovy;31/05/2017 08:26
391;Polytechnique de Diègo-Suarez;31/05/2017 08:59
392;ISSUP;31/05/2017 09:13
393;Village d'enfant Vontovorona;31/05/2017 12:48
394;ESPOIR;31/05/2017 15:15
395;ESPA;02/06/2017 08:12
396;NORAD/BIT Antsirabe;02/06/2017 08:12
397;ASJA (Athénée Saint Joseph Antsirabe);02/06/2017 10:24
398;Lycée technique et professionnel Alarobia;02/06/2017 10:24
399;GSI Analakely;06/06/2017 06:27
400;CNTEMAD Ambatondrazaka;06/06/2017 15:06
401;IESTIIM;07/06/2017 09:23
402;Ecole Nationale d'Informatique de Fianarantsoa;07/06/2017 14:14
403;EPSI Fanantenana;09/06/2017 11:16
404;Lycée Analamahitsy;09/06/2017 12:42
405;Collège Adventiste Fianarantsoa;10/06/2017 10:10
406;ETS St Michel Amparbe;10/06/2017 12:43
407;LJRA ;10/06/2017 17:42
408;réseau plus Madagascar;10/06/2017 17:42
